Prj_ID,Trt_ID,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,FID_TrtPoly002,ObjectID_Union,ObjectID_CountOverlapping,treatment_count,init_date_est,comp_date_est,Init_Date,Comp_Date,init_est,comp_est,init_comp_elapsed,Plan_Imp,Success,Dates_Confirmed,Units,Num_Units,Treatment_Seeded,Seed_List,Seed_Mix_Name,Seeds_or_Seedlings,Seed_List_Confirmed,Control_Areas,Seed_Application_Rate,Seed_Notes,Objectives,Planned_Implementation,Actual_Implementation,Treatment_Effect_and_Results,Trt_Feature_Type,Feature_Status,How_Feature_Created,Feature_Creation_Date,Total_Acres,BLM_Acres,GIS_Notes,Initiated_By,Trt_Concerns,Trt_Concerns_Desc,Problems_Apply_Trt,Problems_Apply_Trt_Desc,Conditions_At_Trt,Conditions_At_Trt_Desc,Trt_Notes,User_Updated,init_m,init_d,init_y,init_m_est,init_d_est,comp_m,comp_d,comp_y,comp_m_est,comp_d_est
5003,13911,Seeding,Aerial Seeding,Aerial Seeding,8747,1357,1225,2,1958-09-18,1958-10-06,9/18/1958,10/6/1958,actual,actual,18,Implemented,Unknown,2,Acres,640,-1,Confirmed seed list,Hackett Mix 1958,Seeds,Confirmed on Paper,NA,Overall,NA,NA,Crested wheat was sown at the rate of 7 pounds to the acre by airplane.,NA,NA,Polygon,Confirmed,Not Determined,00/00/0000,498.8524762,435.2001851,NA,NA,None,NA,None,NA,None,NA,NA,10:31:00,9,18,1958,09,18,10,6,1958,10,06
5003,13912,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,8748,1358,1225,2,1958-09-18,1958-10-06,9/18/1958,10/6/1958,actual,actual,18,Implemented,None,2,Acres,640,0,NA,NA,NA,NA,NA,NA,NA,NA,Juniper was chained from the area.,NA,NA,Polygon,Confirmed,Not Determined,NA,498.8524762,435.2001851,NA,NA,None,NA,None,NA,None,NA,NA,17:56:00,9,18,1958,09,18,10,6,1958,10,06
397,1067,Vegetation/Soil Manipulation,Vegetation Disturbance,Tree/Brush Control: Mechanical,708,1015,1530,2,2004-06-15,2004-06-15,00/00/2004,00/00/2004,estimated month and day,estimated month and day,0,Implemented,Unknown,2,Acres,1916,0,NA,NA,NA,NA,NA,NA,NA,Reduce fire hazard in the wildland-urban interface.,"The fuel reduction option of the Green Stripping Method requires cutting and removing woody vegetation such as sagebrush from the area, with disposal or burning at another location. These areas\r\nwould be broadcast, aerial, or drill seeded following removal of fuels.  The vegetative cover in these units was shrubs and grass.","As of 6/29/07:\r\n\r\nPhoto point 9- Site is in mowstrip. Sagebrush regeneration has a mean height of 1.5' with a mix of grass 50% cheatgrass 50% native I seeded species. Grass heights are 6"" - l&$ and continuous. Good - very good horizontal continuity. Leave strips (untreated areas) have a mean shrub height of 2.5&$ with less grass component and a 70/30% native grasses/cheatgrass. Treated areas show little decadence. May be desirable to implement grazing maintenance or re-mow.\r\n\r\nPhoto point 10- Mean shrub height in treated areas is 1-1.5&$ - mostly sagebrush regeneration. Grass coverage is 60-70% with a mixture of 90% cheatgrass and 10% native/seeded species. Area is ungrazed\r\nthis season with grass heights of 6&& - 1&$. Horizontal continuity is good. Untreated strips are sagebrush/grass with mean shrub height of2&$. Light grass load compared to mow strips and mostly native/seeded species Ratio: 60/40%. Grass coverage is 20-30% in untreated areas. May be desirable to implement grazing maintenance or re-mow.",NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1917.014916,1867.075584,NA,NA,Fire hazard,NA,None,NA,None,NA,"Austin, North Mt. Airy, and South Mt. Airy units.",34:48:00,00,00,2004,06,15,00,00,2004,06,15
397,1068,Seeding,Seeding,Seeding,709,1016,1530,2,2004-06-15,2004-06-15,00/00/2004,00/00/2004,estimated month and day,estimated month and day,0,Implemented,Unknown,2,Acres,1916,-1,Confirmed seed list,NA,Seeds,Confirmed on Paper,Unknown,Unknown,"There is no seed list for this treatment. However, the monitoring report lists some of the seeded species that were established in the plot.  Those species are listed here.",Reduce fire hazard in the wildland-urban interface.,Unknown,"Seeding was completed, confirmed by monitoring.","As of 6/29/07, South Mt. Airy Unit:  \r\n* shrub heights less than SWSB 08, grass coverage about right only grazed. ** shrubs not as tall as SWSB 09. Treated areas represented by PP04 show sagebrush re-generation with mean shrub height of 1.2'. Many seeded species showing\r\nestablishment after 2nd seeding - alfalfa ladak, needle and thread, Poa secunda all establishing.  Cheatgrass still present but have a lower dominance on site. Cheat grass-seeded species ratio is 60/40% respectively. Grass coverage is 50-70% and grazed with height <2"". Poa still green.  Horizontal continuity is fair. Untreated areas have mean shrub height 1.5-2&$ w/fair continuity and considerably less grass @ 20-40% coverage w/ 50/50% ratio of cheatgrass/native species.\r\nMaintenance not needed at this time.",Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1917.014916,1867.075584,NA,Unknown,Fire hazard,Reduce fire hazard in the wildland-urban interface.,None,NA,None,NA,"Austin, North Mt. Airy, and South Mt. Airy units. This treatment may have entailed creation of greenstrips.",39:50:00,00,00,2004,06,15,00,00,2004,06,15
559,1479,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,966,1031,1532,2,1962-07-08,1963-10-18,7/8/1962,10/18/1963,actual,actual,467,Implemented,Unknown,2,Acres,299,0,NA,NA,NA,NA,NA,NA,NA,Seedbed preparation,This project inclided the plowing of 1080 acres of low carrying capacity big sagebrush and seeded with crested wheatgrass.,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,415.6970363,227.4199462,NA,BLM and Cooperators,None,NA,None,NA,None,NA,NA,10:08:00,7,8,1962,07,08,10,18,1963,10,18
559,1480,Seeding,Drill Seeding,Ground Seeding: Drill,967,1032,1532,2,1962-07-08,1963-10-18,7/8/1962,10/18/1963,actual,actual,467,Implemented,Unknown,2,Acres,299,-1,Confirmed seed list,Barrett Canyon Mix 2,Seeds,Confirmed on Paper,NA,NA,NA,The purpose of the seeding is to improve the grazing capacity on a depleted sagebrush area and improve the surrounding reangeland due to lighter grazing and deferreduse which the developmnet of seeding will make possible.,This project inclided the plowing of 1080 acres of low carrying capacity big sagebrush and seeded with crested wheatgrass.,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,415.6970363,227.4199462,NA,BLM and Cooperators,Provide forage for livestock,NA,None,NA,None,NA,NA,11:38:00,7,8,1962,07,08,10,18,1963,10,18
923,2522,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,1641,1051,1533,2,1969-06-15,1970-02-03,00/00/1969,2/3/1970,estimated month and day,actual,233,Implemented,Unknown,1,Acres,3700,0,NA,NA,NA,NA,NA,NA,NA,Prepare Seed Bed,"Each designated site will be plowed twice, one plowing perpendicular to the other.  Last plowing on the contour, contour levels to be furnished by the contractor.",NA,Minimum level of efficiency: Not more than 3 brush plants remaining alive per three hundred (300) square feet within any area of five (5) acres.  A live brush plant will be considered as any plant still attached to roots in the ground.,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,3375.181439,3321.828106,NA,Contractor,None,NA,None,NA,None,NA,NA,58:21:00,00,00,1969,06,15,2,3,1970,02,03
923,2523,Seeding,Drill Seeding,Ground Seeding: Drill,1642,1052,1533,2,1969-06-15,1970-02-03,00/00/1969,2/3/1970,estimated month and day,actual,233,Implemented,None,1,Acres,3700,-1,Confirmed seed list,Big Hunk 2 Mix,Seeds,Confirmed on Paper,NA,NA,NA,NA,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,3375.181439,3321.828106,NA,NA,None,NA,None,NA,None,NA,NA,24:05:00,00,00,1969,06,15,2,3,1970,02,03
1889,5205,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,3372,1131,1535,2,1964-08-27,1965-09-01,8/27/1964,9/1/1965,actual,actual,370,Implemented,Unknown,2,Acres,268,0,NA,NA,NA,NA,NA,NA,NA,To create a seed bed to plant crested wheatgrass.,Sagebrush range in poor condition - plowed twice and drilled to crested wheatgrass.,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,299.51528,299.515837,NA,NA,None,NA,None,NA,None,NA,NA,56:33:00,8,27,1964,08,27,9,1,1965,09,01
1889,5206,Seeding,Drill Seeding,Ground Seeding: Drill,3373,1132,1535,2,1964-08-27,1965-09-01,8/27/1964,9/1/1965,actual,actual,370,Implemented,Unknown,2,Acres,268,-1,Confirmed seed list,Callaghan Mix,Seeds,Confirmed on Paper,NA,NA,NA,NA,Sagebrush range in poor condition - plowed twice and drilled to crested wheatgrass.,6/20/92: The seeding is dry for this time of year but the plants seem to be surviving.,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,299.51528,299.515837,NA,NA,Provide forage for livestock,NA,None,NA,None,NA,NA,57:36:00,8,27,1964,08,27,9,1,1965,09,01
3539,9949,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,6146,1261,1547,2,1966-02-02,1966-12-12,2/2/1966,12/12/1966,actual,actual,313,Implemented,None,2,Acres,1339,0,NA,NA,NA,NA,NA,NA,NA,Seedbed preparation,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1069.596855,1063.21118,NA,NA,None,NA,None,NA,None,NA,NA,50:58:00,2,2,1966,02,02,12,12,1966,12,12
3539,9950,Seeding,Drill Seeding,Ground Seeding: Drill,6147,1262,1547,2,1966-02-02,1966-12-12,2/2/1966,12/12/1966,actual,actual,313,Implemented,None,2,Acres,1339,-1,Confirmed seed list,Dry Canyon Mix,Seeds,Confirmed on Paper,NA,NA,NA,NA,Method of Seeding: Drilling,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1069.596855,1063.21118,NA,NA,None,NA,None,NA,None,NA,NA,42:34:00,2,2,1966,02,02,12,12,1966,12,12
7259,19884,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,12577,1617,1562,2,1965-06-07,1966-04-11,6/7/1965,4/11/1966,actual,actual,308,Implemented,Unknown,2,Acres,1015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1012.292367,1012.304086,NA,NA,None,NA,None,NA,None,NA,NA,17:33:00,6,7,1965,06,07,4,11,1966,04,11
7259,19885,Seeding,Drill Seeding,Ground Seeding: Drill,12578,1618,1562,2,1965-06-07,1966-04-11,6/7/1965,4/11/1966,actual,actual,308,Implemented,Unknown,2,Acres,1015,-1,Confirmed seed list,Marysville Mix,Seeds,Confirmed on Paper,NA,NA,NA,NA,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,1012.292367,1012.304086,NA,NA,None,NA,None,NA,None,NA,NA,20:30:00,6,7,1965,06,07,4,11,1966,04,11
11684,31669,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,20317,2009,1577,2,1966-03-01,1966-11-05,3/1/1966,11/5/1966,actual,actual,249,Implemented,Unknown,2,Acres,662,0,NA,NA,NA,NA,NA,NA,NA,Seedbed Preparation: Plowing,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,815.2336807,815.2194568,NA,NA,None,NA,None,NA,None,NA,NA,40:45:00,3,1,1966,03,01,11,5,1966,11,05
11684,31670,Seeding,Drill Seeding,Ground Seeding: Drill,20318,2010,1577,2,1966-03-01,1966-11-05,3/1/1966,11/5/1966,actual,actual,249,Implemented,Unknown,2,Acres,662,-1,Confirmed seed list,Tierney 3 Mix,Seeds,Confirmed on Paper,NA,NA,NA,Method of Seeding: Drilling,NA,NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,815.2336807,815.2194568,NA,NA,None,NA,None,NA,None,NA,NA,41:13:00,3,1,1966,03,01,11,5,1966,11,05
